Receipt No,Admission No,Student Name,Class,Term,Year,Amount (KES),Payment Method,Reference No,Paid By,Payment Date,Recorded By
BP-2026-0168,ADM-1030,Yvonne Karanja,Grade 1 A,Term 2,2026,4700,Bank Transfer,RTN-78763,Rebecca Karanja,2026-06-27,Rebecca Wanjala
BP-2026-0169,ADM-1031,Yvonne Njeri,Grade 1 A,Term 1,2026,7500,M-PESA,QWH-51788,Donald Njeri,2026-01-12,Rebecca Wanjala
BP-2026-0170,ADM-1031,Yvonne Njeri,Grade 1 A,Term 1,2026,12000,Bank Transfer,RTN-63715,Donald Njeri,2026-02-11,Andreah Smithh
BP-2026-0171,ADM-1031,Yvonne Njeri,Grade 1 A,Term 2,2026,5300,M-PESA,QWH-99452,Donald Njeri,2026-05-29,Rebecca Wanjala
BP-2026-0172,ADM-1031,Yvonne Njeri,Grade 1 A,Term 2,2026,4200,M-PESA,QWH-65153,Donald Njeri,2026-05-28,Andreah Smithh
BP-2026-0173,ADM-1031,Yvonne Njeri,Grade 1 A,Term 2,2026,5500,Cheque,CHQ-65446,Donald Njeri,2026-06-18,Monica Wanjiru
BP-2026-0174,ADM-1031,Yvonne Njeri,Grade 1 A,Term 3,2026,3300,M-PESA,QWH-31479,Donald Njeri,2026-09-11,Andreah Smithh
BP-2026-0175,ADM-1031,Yvonne Njeri,Grade 1 A,Term 3,2026,2900,Cheque,CHQ-96385,Donald Njeri,2026-10-04,Andreah Smithh
BP-2026-0176,ADM-1032,Esther Mutiso,Grade 1 A,Term 1,2026,14900,Cash,CSH-20932,Lawrence Mutiso,2026-01-10,Monica Wanjiru
BP-2026-0177,ADM-1032,Esther Mutiso,Grade 1 A,Term 1,2026,16100,M-PESA,QWH-28649,Lawrence Mutiso,2026-01-22,Monica Wanjiru
BP-2026-0178,ADM-1032,Esther Mutiso,Grade 1 A,Term 2,2026,14000,M-PESA,QWH-22398,Lawrence Mutiso,2026-05-15,Andreah Smithh
BP-2026-0179,ADM-1032,Esther Mutiso,Grade 1 A,Term 3,2026,2900,M-PESA,QWH-79043,Lawrence Mutiso,2026-09-30,Rebecca Wanjala
BP-2026-0180,ADM-1032,Esther Mutiso,Grade 1 A,Term 3,2026,2000,Bank Transfer,RTN-86816,Lawrence Mutiso,2026-10-17,Andreah Smithh
BP-2026-0181,ADM-1032,Esther Mutiso,Grade 1 A,Term 3,2026,1900,Cash,CSH-58847,Lawrence Mutiso,2026-10-08,Monica Wanjiru
BP-2026-0182,ADM-1033,Daniel Noor,Grade 1 A,Term 1,2026,30000,M-PESA,QWH-13176,Emily Noor,2026-01-21,Rebecca Wanjala
BP-2026-0183,ADM-1033,Daniel Noor,Grade 1 A,Term 2,2026,15000,Cheque,CHQ-37763,Emily Noor,2026-05-19,Monica Wanjiru
BP-2026-0184,ADM-1033,Daniel Noor,Grade 1 A,Term 3,2026,3200,Cash,CSH-49724,Emily Noor,2026-09-27,Andreah Smithh
BP-2026-0185,ADM-1033,Daniel Noor,Grade 1 A,Term 3,2026,5800,M-PESA,QWH-15779,Emily Noor,2026-10-08,Andreah Smithh
BP-2026-0186,ADM-1034,Alice Metto,Grade 1 A,Term 1,2026,26400,M-PESA,QWH-39637,Harrison Metto,2026-01-26,Andreah Smithh
BP-2026-0187,ADM-1034,Alice Metto,Grade 1 A,Term 2,2026,4600,M-PESA,QWH-88534,Harrison Metto,2026-05-25,Andreah Smithh
BP-2026-0188,ADM-1034,Alice Metto,Grade 1 A,Term 2,2026,3200,Bank Transfer,RTN-53538,Harrison Metto,2026-05-24,Monica Wanjiru
BP-2026-0189,ADM-1034,Alice Metto,Grade 1 A,Term 2,2026,7200,Cheque,CHQ-42422,Harrison Metto,2026-06-16,Andreah Smithh
BP-2026-0190,ADM-1035,Maureen Muthoka,Grade 1 B,Term 1,2026,9100,Cash,CSH-90884,Zipporah Muthoka,2026-01-17,Monica Wanjiru
BP-2026-0191,ADM-1035,Maureen Muthoka,Grade 1 B,Term 1,2026,20900,Bank Transfer,RTN-35523,Zipporah Muthoka,2026-01-24,Monica Wanjiru
BP-2026-0192,ADM-1035,Maureen Muthoka,Grade 1 B,Term 2,2026,4100,M-PESA,QWH-18069,Zipporah Muthoka,2026-05-07,Rebecca Wanjala
BP-2026-0193,ADM-1035,Maureen Muthoka,Grade 1 B,Term 2,2026,4200,M-PESA,QWH-47304,Zipporah Muthoka,2026-05-23,Andreah Smithh
BP-2026-0194,ADM-1035,Maureen Muthoka,Grade 1 B,Term 2,2026,6700,Cash,CSH-52148,Zipporah Muthoka,2026-06-23,Rebecca Wanjala
BP-2026-0195,ADM-1035,Maureen Muthoka,Grade 1 B,Term 3,2026,2900,M-PESA,QWH-63989,Zipporah Muthoka,2026-09-17,Andreah Smithh
BP-2026-0196,ADM-1035,Maureen Muthoka,Grade 1 B,Term 3,2026,1500,M-PESA,QWH-91551,Zipporah Muthoka,2026-10-17,Monica Wanjiru
BP-2026-0197,ADM-1035,Maureen Muthoka,Grade 1 B,Term 3,2026,2100,Bank Transfer,RTN-99436,Zipporah Muthoka,2026-10-12,Rebecca Wanjala
BP-2026-0198,ADM-1036,Alice Abdi,Grade 1 B,Term 1,2026,12200,Cash,CSH-13075,Andrew Abdi,2026-01-10,Monica Wanjiru
BP-2026-0199,ADM-1036,Alice Abdi,Grade 1 B,Term 1,2026,9600,Bank Transfer,RTN-22425,Andrew Abdi,2026-02-12,Monica Wanjiru
BP-2026-0200,ADM-1036,Alice Abdi,Grade 1 B,Term 1,2026,8200,Cheque,CHQ-70320,Andrew Abdi,2026-03-01,Andreah Smithh
BP-2026-0201,ADM-1036,Alice Abdi,Grade 1 B,Term 2,2026,4200,Cash,CSH-68965,Andrew Abdi,2026-05-31,Andreah Smithh
BP-2026-0202,ADM-1036,Alice Abdi,Grade 1 B,Term 2,2026,4200,M-PESA,QWH-34902,Andrew Abdi,2026-06-08,Monica Wanjiru
BP-2026-0203,ADM-1036,Alice Abdi,Grade 1 B,Term 2,2026,6600,Bank Transfer,RTN-45480,Andrew Abdi,2026-07-03,Rebecca Wanjala
BP-2026-0204,ADM-1036,Alice Abdi,Grade 1 B,Term 3,2026,9000,M-PESA,QWH-34073,Andrew Abdi,2026-09-12,Andreah Smithh
BP-2026-0205,ADM-1037,Kipchoge Akoth,Grade 1 B,Term 1,2026,7800,Cash,CSH-72724,Doreen Akoth,2026-01-22,Rebecca Wanjala
BP-2026-0206,ADM-1037,Kipchoge Akoth,Grade 1 B,Term 1,2026,7500,Cheque,CHQ-46942,Doreen Akoth,2026-01-25,Andreah Smithh
BP-2026-0207,ADM-1037,Kipchoge Akoth,Grade 1 B,Term 1,2026,14700,M-PESA,QWH-96715,Doreen Akoth,2026-02-11,Rebecca Wanjala
BP-2026-0208,ADM-1037,Kipchoge Akoth,Grade 1 B,Term 2,2026,15000,M-PESA,QWH-63979,Doreen Akoth,2026-05-10,Andreah Smithh
BP-2026-0209,ADM-1037,Kipchoge Akoth,Grade 1 B,Term 3,2026,4300,M-PESA,QWH-42187,Doreen Akoth,2026-09-15,Monica Wanjiru
BP-2026-0210,ADM-1037,Kipchoge Akoth,Grade 1 B,Term 3,2026,4700,Bank Transfer,RTN-45461,Doreen Akoth,2026-10-14,Monica Wanjiru
BP-2026-0211,ADM-1038,Abigail Yusuf,Grade 1 B,Term 1,2026,8400,Bank Transfer,RTN-20535,Peter Yusuf,2026-01-25,Monica Wanjiru
BP-2026-0212,ADM-1038,Abigail Yusuf,Grade 1 B,Term 1,2026,21600,Bank Transfer,RTN-24451,Peter Yusuf,2026-02-11,Rebecca Wanjala
BP-2026-0213,ADM-1038,Abigail Yusuf,Grade 1 B,Term 2,2026,7500,Cash,CSH-68542,Peter Yusuf,2026-05-23,Rebecca Wanjala
BP-2026-0214,ADM-1038,Abigail Yusuf,Grade 1 B,Term 2,2026,2000,Bank Transfer,RTN-17122,Peter Yusuf,2026-06-17,Andreah Smithh
BP-2026-0215,ADM-1038,Abigail Yusuf,Grade 1 B,Term 2,2026,5500,M-PESA,QWH-74227,Peter Yusuf,2026-06-19,Monica Wanjiru
BP-2026-0216,ADM-1038,Abigail Yusuf,Grade 1 B,Term 3,2026,5900,M-PESA,QWH-33353,Peter Yusuf,2026-09-21,Andreah Smithh
BP-2026-0217,ADM-1039,Peter Choge,Grade 1 B,Term 1,2026,11800,M-PESA,QWH-56782,Daniel Choge,2026-01-25,Monica Wanjiru
BP-2026-0218,ADM-1039,Peter Choge,Grade 1 B,Term 1,2026,9900,Bank Transfer,RTN-19511,Daniel Choge,2026-02-10,Monica Wanjiru
BP-2026-0219,ADM-1039,Peter Choge,Grade 1 B,Term 1,2026,8300,Cash,CSH-32307,Daniel Choge,2026-02-13,Rebecca Wanjala
BP-2026-0220,ADM-1039,Peter Choge,Grade 1 B,Term 2,2026,6300,Cheque,CHQ-30883,Daniel Choge,2026-05-13,Rebecca Wanjala
BP-2026-0221,ADM-1039,Peter Choge,Grade 1 B,Term 2,2026,8700,M-PESA,QWH-82038,Daniel Choge,2026-06-20,Andreah Smithh
BP-2026-0222,ADM-1039,Peter Choge,Grade 1 B,Term 3,2026,3400,M-PESA,QWH-73480,Daniel Choge,2026-09-20,Rebecca Wanjala
BP-2026-0223,ADM-1040,Joshua Nzioka,Grade 1 B,Term 1,2026,9500,M-PESA,QWH-54616,Moses Nzioka,2026-01-17,Rebecca Wanjala
BP-2026-0224,ADM-1040,Joshua Nzioka,Grade 1 B,Term 1,2026,6100,Cheque,CHQ-65317,Moses Nzioka,2026-02-01,Andreah Smithh
BP-2026-0225,ADM-1040,Joshua Nzioka,Grade 1 B,Term 1,2026,14400,Bank Transfer,RTN-60008,Moses Nzioka,2026-03-02,Rebecca Wanjala
BP-2026-0226,ADM-1040,Joshua Nzioka,Grade 1 B,Term 2,2026,4700,Cheque,CHQ-23062,Moses Nzioka,2026-05-20,Rebecca Wanjala
BP-2026-0227,ADM-1040,Joshua Nzioka,Grade 1 B,Term 2,2026,5300,M-PESA,QWH-32660,Moses Nzioka,2026-06-05,Rebecca Wanjala
BP-2026-0228,ADM-1040,Joshua Nzioka,Grade 1 B,Term 2,2026,5000,Cheque,CHQ-21243,Moses Nzioka,2026-06-12,Andreah Smithh
BP-2026-0229,ADM-1040,Joshua Nzioka,Grade 1 B,Term 3,2026,2800,M-PESA,QWH-81967,Moses Nzioka,2026-09-26,Monica Wanjiru
BP-2026-0230,ADM-1040,Joshua Nzioka,Grade 1 B,Term 3,2026,1800,Bank Transfer,RTN-46246,Moses Nzioka,2026-10-10,Rebecca Wanjala
BP-2026-0231,ADM-1040,Joshua Nzioka,Grade 1 B,Term 3,2026,1600,Cheque,CHQ-93864,Moses Nzioka,2026-10-15,Rebecca Wanjala
BP-2026-0232,ADM-1041,Winnie Suleiman,Grade 1 B,Term 1,2026,14700,Cheque,CHQ-93890,Charity Suleiman,2026-01-22,Andreah Smithh
BP-2026-0233,ADM-1041,Winnie Suleiman,Grade 1 B,Term 1,2026,6200,Bank Transfer,RTN-16313,Charity Suleiman,2026-01-31,Andreah Smithh
BP-2026-0234,ADM-1041,Winnie Suleiman,Grade 1 B,Term 1,2026,5000,M-PESA,QWH-17223,Charity Suleiman,2026-02-18,Andreah Smithh
BP-2026-0235,ADM-1041,Winnie Suleiman,Grade 1 B,Term 1,2026,7100,Bank Transfer,RTN-38816,Charity Suleiman,2026-03-09,Andreah Smithh
BP-2026-0236,ADM-1041,Winnie Suleiman,Grade 1 B,Term 2,2026,5900,Bank Transfer,RTN-84919,Charity Suleiman,2026-06-01,Monica Wanjiru
BP-2026-0237,ADM-1041,Winnie Suleiman,Grade 1 B,Term 3,2026,5100,Bank Transfer,RTN-60950,Charity Suleiman,2026-09-16,Rebecca Wanjala
BP-2026-0238,ADM-1042,John Pekeri,Grade 1 B,Term 1,2026,15300,M-PESA,QWH-31170,Alex Pekeri,2026-01-30,Monica Wanjiru
BP-2026-0239,ADM-1042,John Pekeri,Grade 1 B,Term 1,2026,6300,M-PESA,QWH-96065,Alex Pekeri,2026-02-08,Rebecca Wanjala
BP-2026-0240,ADM-1042,John Pekeri,Grade 1 B,Term 1,2026,8400,Cash,CSH-28746,Alex Pekeri,2026-02-05,Monica Wanjiru
BP-2026-0241,ADM-1042,John Pekeri,Grade 1 B,Term 2,2026,5200,Cash,CSH-92247,Alex Pekeri,2026-05-23,Monica Wanjiru
BP-2026-0242,ADM-1042,John Pekeri,Grade 1 B,Term 2,2026,9800,Cash,CSH-92083,Alex Pekeri,2026-06-19,Rebecca Wanjala
BP-2026-0243,ADM-1042,John Pekeri,Grade 1 B,Term 3,2026,2300,Cheque,CHQ-96822,Alex Pekeri,2026-09-19,Rebecca Wanjala
BP-2026-0244,ADM-1042,John Pekeri,Grade 1 B,Term 3,2026,4400,M-PESA,QWH-95339,Alex Pekeri,2026-10-07,Rebecca Wanjala
BP-2026-0245,ADM-1043,Judith Njuguna,Grade 1 B,Term 1,2026,13700,Bank Transfer,RTN-13130,Nathaniel Njuguna,2026-01-07,Rebecca Wanjala
BP-2026-0246,ADM-1043,Judith Njuguna,Grade 1 B,Term 1,2026,5400,M-PESA,QWH-13863,Nathaniel Njuguna,2026-02-01,Andreah Smithh
BP-2026-0247,ADM-1043,Judith Njuguna,Grade 1 B,Term 1,2026,11900,M-PESA,QWH-55316,Nathaniel Njuguna,2026-02-10,Rebecca Wanjala
BP-2026-0248,ADM-1043,Judith Njuguna,Grade 1 B,Term 2,2026,5700,Cash,CSH-78175,Nathaniel Njuguna,2026-05-06,Andreah Smithh
BP-2026-0249,ADM-1043,Judith Njuguna,Grade 1 B,Term 2,2026,2800,M-PESA,QWH-30125,Nathaniel Njuguna,2026-05-28,Andreah Smithh
BP-2026-0250,ADM-1043,Judith Njuguna,Grade 1 B,Term 2,2026,5500,Cash,CSH-35112,Nathaniel Njuguna,2026-06-16,Rebecca Wanjala
BP-2026-0251,ADM-1043,Judith Njuguna,Grade 1 B,Term 3,2026,4800,Cash,CSH-80937,Nathaniel Njuguna,2026-10-05,Andreah Smithh
BP-2026-0252,ADM-1043,Judith Njuguna,Grade 1 B,Term 3,2026,1800,Cash,CSH-62661,Nathaniel Njuguna,2026-10-02,Andreah Smithh
BP-2026-0253,ADM-1043,Judith Njuguna,Grade 1 B,Term 3,2026,2400,M-PESA,QWH-14957,Nathaniel Njuguna,2026-10-31,Rebecca Wanjala
BP-2026-0254,ADM-1044,Joyce Mutoro,Grade 1 B,Term 1,2026,13800,M-PESA,QWH-18692,Kennedy Mutoro,2026-01-24,Andreah Smithh
BP-2026-0255,ADM-1044,Joyce Mutoro,Grade 1 B,Term 2,2026,8200,Bank Transfer,RTN-49176,Kennedy Mutoro,2026-05-07,Rebecca Wanjala
BP-2026-0256,ADM-1044,Joyce Mutoro,Grade 1 B,Term 2,2026,3100,Cash,CSH-85716,Kennedy Mutoro,2026-06-13,Monica Wanjiru
BP-2026-0257,ADM-1044,Joyce Mutoro,Grade 1 B,Term 2,2026,7700,Bank Transfer,RTN-30508,Kennedy Mutoro,2026-06-20,Rebecca Wanjala
BP-2026-0258,ADM-1044,Joyce Mutoro,Grade 1 B,Term 3,2026,5000,Bank Transfer,RTN-83458,Kennedy Mutoro,2026-10-02,Monica Wanjiru
BP-2026-0259,ADM-1045,Yvonne Choge,Grade 1 B,Term 1,2026,5100,Bank Transfer,RTN-25161,Kennedy Choge,2026-01-30,Rebecca Wanjala
BP-2026-0260,ADM-1045,Yvonne Choge,Grade 1 B,Term 1,2026,3100,Bank Transfer,RTN-11454,Kennedy Choge,2026-01-24,Andreah Smithh
BP-2026-0261,ADM-1045,Yvonne Choge,Grade 1 B,Term 1,2026,6500,Cash,CSH-27053,Kennedy Choge,2026-02-19,Andreah Smithh
BP-2026-0262,ADM-1045,Yvonne Choge,Grade 1 B,Term 2,2026,4100,Bank Transfer,RTN-84950,Kennedy Choge,2026-05-15,Andreah Smithh
BP-2026-0263,ADM-1045,Yvonne Choge,Grade 1 B,Term 2,2026,5900,Cash,CSH-92693,Kennedy Choge,2026-06-06,Rebecca Wanjala
BP-2026-0264,ADM-1045,Yvonne Choge,Grade 1 B,Term 2,2026,5000,Cash,CSH-60797,Kennedy Choge,2026-06-27,Monica Wanjiru
BP-2026-0265,ADM-1045,Yvonne Choge,Grade 1 B,Term 3,2026,2800,M-PESA,QWH-33718,Kennedy Choge,2026-09-13,Monica Wanjiru
BP-2026-0266,ADM-1045,Yvonne Choge,Grade 1 B,Term 3,2026,3000,M-PESA,QWH-93997,Kennedy Choge,2026-10-11,Monica Wanjiru
BP-2026-0267,ADM-1045,Yvonne Choge,Grade 1 B,Term 3,2026,3200,M-PESA,QWH-76729,Kennedy Choge,2026-10-21,Monica Wanjiru
BP-2026-0268,ADM-1046,Timothy Khisa,Grade 1 B,Term 1,2026,9800,M-PESA,QWH-48010,Simon Khisa,2026-01-20,Monica Wanjiru
BP-2026-0269,ADM-1046,Timothy Khisa,Grade 1 B,Term 1,2026,5200,M-PESA,QWH-31405,Simon Khisa,2026-02-11,Andreah Smithh
BP-2026-0270,ADM-1046,Timothy Khisa,Grade 1 B,Term 1,2026,15000,M-PESA,QWH-61550,Simon Khisa,2026-02-14,Monica Wanjiru
BP-2026-0271,ADM-1046,Timothy Khisa,Grade 1 B,Term 2,2026,3200,Bank Transfer,RTN-42894,Simon Khisa,2026-05-10,Rebecca Wanjala
BP-2026-0272,ADM-1046,Timothy Khisa,Grade 1 B,Term 2,2026,1600,Cash,CSH-75835,Simon Khisa,2026-06-07,Monica Wanjiru
BP-2026-0273,ADM-1046,Timothy Khisa,Grade 1 B,Term 2,2026,2400,Cash,CSH-59805,Simon Khisa,2026-06-24,Monica Wanjiru
BP-2026-0274,ADM-1046,Timothy Khisa,Grade 1 B,Term 3,2026,3400,Cash,CSH-75055,Simon Khisa,2026-09-29,Andreah Smithh
BP-2026-0275,ADM-1047,Charles Njeru,Grade 1 B,Term 1,2026,30000,M-PESA,QWH-42995,Caleb Njeru,2026-01-18,Rebecca Wanjala
BP-2026-0276,ADM-1047,Charles Njeru,Grade 1 B,Term 2,2026,5100,Cash,CSH-69438,Caleb Njeru,2026-05-28,Rebecca Wanjala
BP-2026-0277,ADM-1047,Charles Njeru,Grade 1 B,Term 2,2026,4800,Cheque,CHQ-98646,Caleb Njeru,2026-05-27,Monica Wanjiru
BP-2026-0278,ADM-1047,Charles Njeru,Grade 1 B,Term 2,2026,5100,M-PESA,QWH-56032,Caleb Njeru,2026-06-29,Andreah Smithh
BP-2026-0279,ADM-1048,Vincent Wamalwa,Grade 1 B,Term 1,2026,14900,Cash,CSH-25970,Lawrence Wamalwa,2026-01-08,Rebecca Wanjala
BP-2026-0280,ADM-1048,Vincent Wamalwa,Grade 1 B,Term 1,2026,15100,Cheque,CHQ-46794,Lawrence Wamalwa,2026-02-14,Andreah Smithh
BP-2026-0281,ADM-1048,Vincent Wamalwa,Grade 1 B,Term 2,2026,4200,M-PESA,QWH-78864,Lawrence Wamalwa,2026-05-14,Andreah Smithh
BP-2026-0282,ADM-1048,Vincent Wamalwa,Grade 1 B,Term 2,2026,10800,M-PESA,QWH-24029,Lawrence Wamalwa,2026-05-27,Andreah Smithh
BP-2026-0283,ADM-1048,Vincent Wamalwa,Grade 1 B,Term 3,2026,9000,Cash,CSH-45962,Lawrence Wamalwa,2026-09-28,Andreah Smithh
BP-2026-0284,ADM-1049,Isaac Mwirigi,Grade 1 B,Term 1,2026,21000,Cash,CSH-31688,Nathaniel Mwirigi,2026-01-25,Monica Wanjiru
BP-2026-0285,ADM-1049,Isaac Mwirigi,Grade 1 B,Term 1,2026,10700,Bank Transfer,RTN-13182,Nathaniel Mwirigi,2026-02-10,Monica Wanjiru
BP-2026-0286,ADM-1049,Isaac Mwirigi,Grade 1 B,Term 1,2026,12300,Bank Transfer,RTN-19987,Nathaniel Mwirigi,2026-02-24,Rebecca Wanjala
BP-2026-0287,ADM-1049,Isaac Mwirigi,Grade 1 B,Term 2,2026,15600,Cheque,CHQ-45708,Nathaniel Mwirigi,2026-05-25,Rebecca Wanjala
BP-2026-0288,ADM-1049,Isaac Mwirigi,Grade 1 B,Term 2,2026,13400,Cash,CSH-47484,Nathaniel Mwirigi,2026-06-02,Andreah Smithh
BP-2026-0289,ADM-1049,Isaac Mwirigi,Grade 1 B,Term 3,2026,9000,Cash,CSH-44052,Nathaniel Mwirigi,2026-09-11,Andreah Smithh
BP-2026-0290,ADM-1050,David Kaelo,Grade 1 B,Term 1,2026,8000,M-PESA,QWH-82590,Diana Kaelo,2026-02-01,Andreah Smithh
BP-2026-0291,ADM-1050,David Kaelo,Grade 1 B,Term 1,2026,22000,M-PESA,QWH-72654,Diana Kaelo,2026-02-01,Monica Wanjiru
BP-2026-0292,ADM-1050,David Kaelo,Grade 1 B,Term 2,2026,15000,Cash,CSH-66828,Diana Kaelo,2026-05-30,Rebecca Wanjala
BP-2026-0293,ADM-1050,David Kaelo,Grade 1 B,Term 3,2026,2700,Cash,CSH-28924,Diana Kaelo,2026-09-24,Monica Wanjiru
BP-2026-0294,ADM-1050,David Kaelo,Grade 1 B,Term 3,2026,3200,M-PESA,QWH-14892,Diana Kaelo,2026-10-02,Andreah Smithh
BP-2026-0295,ADM-1050,David Kaelo,Grade 1 B,Term 3,2026,3100,Bank Transfer,RTN-97819,Diana Kaelo,2026-10-25,Rebecca Wanjala
BP-2026-0296,ADM-1051,Purity Kioko,Grade 1 B,Term 1,2026,10900,M-PESA,QWH-99345,Isaac Kioko,2026-01-17,Monica Wanjiru
BP-2026-0297,ADM-1051,Purity Kioko,Grade 1 B,Term 1,2026,19100,Bank Transfer,RTN-12965,Isaac Kioko,2026-01-26,Andreah Smithh
BP-2026-0298,ADM-1051,Purity Kioko,Grade 1 B,Term 2,2026,6600,Bank Transfer,RTN-13084,Isaac Kioko,2026-05-13,Monica Wanjiru
BP-2026-0299,ADM-1051,Purity Kioko,Grade 1 B,Term 2,2026,8400,M-PESA,QWH-32674,Isaac Kioko,2026-06-12,Andreah Smithh
BP-2026-0300,ADM-1052,Thomas Korir,Grade 1 B,Term 1,2026,30000,Cash,CSH-60134,Caleb Korir,2026-01-29,Andreah Smithh
BP-2026-0301,ADM-1052,Thomas Korir,Grade 1 B,Term 2,2026,15000,Cash,CSH-96679,Caleb Korir,2026-05-12,Andreah Smithh
BP-2026-0302,ADM-1052,Thomas Korir,Grade 1 B,Term 3,2026,2900,Cash,CSH-30032,Caleb Korir,2026-09-30,Rebecca Wanjala
BP-2026-0303,ADM-1052,Thomas Korir,Grade 1 B,Term 3,2026,3100,Cash,CSH-61213,Caleb Korir,2026-09-29,Monica Wanjiru
BP-2026-0304,ADM-1052,Thomas Korir,Grade 1 B,Term 3,2026,3000,Bank Transfer,RTN-90945,Caleb Korir,2026-10-18,Rebecca Wanjala
BP-2026-0305,ADM-1053,Zachary Omollo,Grade 1 B,Term 1,2026,26700,M-PESA,QWH-63110,John Omollo,2026-01-19,Rebecca Wanjala
BP-2026-0306,ADM-1053,Zachary Omollo,Grade 1 B,Term 2,2026,4300,Bank Transfer,RTN-79598,John Omollo,2026-05-12,Monica Wanjiru
BP-2026-0307,ADM-1053,Zachary Omollo,Grade 1 B,Term 2,2026,3400,Cash,CSH-59355,John Omollo,2026-06-10,Monica Wanjiru
BP-2026-0308,ADM-1053,Zachary Omollo,Grade 1 B,Term 2,2026,4300,M-PESA,QWH-16392,John Omollo,2026-06-25,Rebecca Wanjala
BP-2026-0309,ADM-1053,Zachary Omollo,Grade 1 B,Term 3,2026,1700,Bank Transfer,RTN-19822,John Omollo,2026-09-18,Andreah Smithh
BP-2026-0310,ADM-1053,Zachary Omollo,Grade 1 B,Term 3,2026,2600,Cash,CSH-28902,John Omollo,2026-09-29,Andreah Smithh
BP-2026-0311,ADM-1054,Sharon Kombo,Grade 1 B,Term 1,2026,9000,Bank Transfer,RTN-98283,Godfrey Kombo,2026-01-31,Monica Wanjiru
BP-2026-0312,ADM-1054,Sharon Kombo,Grade 1 B,Term 1,2026,6300,Cheque,CHQ-56774,Godfrey Kombo,2026-02-07,Rebecca Wanjala
BP-2026-0313,ADM-1054,Sharon Kombo,Grade 1 B,Term 1,2026,14700,M-PESA,QWH-25953,Godfrey Kombo,2026-02-17,Monica Wanjiru
BP-2026-0314,ADM-1054,Sharon Kombo,Grade 1 B,Term 2,2026,6600,M-PESA,QWH-80620,Godfrey Kombo,2026-05-14,Rebecca Wanjala
BP-2026-0315,ADM-1054,Sharon Kombo,Grade 1 B,Term 2,2026,3900,Bank Transfer,RTN-89051,Godfrey Kombo,2026-05-31,Monica Wanjiru
BP-2026-0316,ADM-1054,Sharon Kombo,Grade 1 B,Term 2,2026,4500,Cheque,CHQ-84041,Godfrey Kombo,2026-06-22,Rebecca Wanjala
BP-2026-0317,ADM-1055,Luke Bunoro,Grade 1 B,Term 1,2026,21500,Cash,CSH-10225,Alex Bunoro,2026-01-30,Monica Wanjiru
BP-2026-0318,ADM-1055,Luke Bunoro,Grade 1 B,Term 1,2026,9800,M-PESA,QWH-64756,Alex Bunoro,2026-02-01,Andreah Smithh
BP-2026-0319,ADM-1055,Luke Bunoro,Grade 1 B,Term 1,2026,13700,Bank Transfer,RTN-24802,Alex Bunoro,2026-03-03,Rebecca Wanjala
BP-2026-0320,ADM-1055,Luke Bunoro,Grade 1 B,Term 2,2026,11200,Cheque,CHQ-53980,Alex Bunoro,2026-06-03,Monica Wanjiru
BP-2026-0321,ADM-1055,Luke Bunoro,Grade 1 B,Term 2,2026,18800,Bank Transfer,RTN-20479,Alex Bunoro,2026-06-11,Rebecca Wanjala
BP-2026-0322,ADM-1055,Luke Bunoro,Grade 1 B,Term 3,2026,6400,Cash,CSH-95401,Alex Bunoro,2026-09-13,Rebecca Wanjala
BP-2026-0323,ADM-1055,Luke Bunoro,Grade 1 B,Term 3,2026,17600,Cash,CSH-13575,Alex Bunoro,2026-10-16,Monica Wanjiru
BP-2026-0324,ADM-1056,Dorcas Nassor,Grade 1 B,Term 1,2026,13200,M-PESA,QWH-28256,Ian Nassor,2026-01-22,Rebecca Wanjala
BP-2026-0325,ADM-1056,Dorcas Nassor,Grade 1 B,Term 1,2026,6400,M-PESA,QWH-31317,Ian Nassor,2026-02-04,Monica Wanjiru
BP-2026-0326,ADM-1056,Dorcas Nassor,Grade 1 B,Term 1,2026,10400,Bank Transfer,RTN-83504,Ian Nassor,2026-02-26,Andreah Smithh
BP-2026-0327,ADM-1056,Dorcas Nassor,Grade 1 B,Term 2,2026,5100,Bank Transfer,RTN-21743,Ian Nassor,2026-05-24,Rebecca Wanjala
BP-2026-0328,ADM-1056,Dorcas Nassor,Grade 1 B,Term 2,2026,3900,Cheque,CHQ-32888,Ian Nassor,2026-06-08,Monica Wanjiru
BP-2026-0329,ADM-1056,Dorcas Nassor,Grade 1 B,Term 2,2026,6000,M-PESA,QWH-66579,Ian Nassor,2026-06-11,Monica Wanjiru
BP-2026-0330,ADM-1057,Wesley Bakari,Grade 1 B,Term 1,2026,15100,M-PESA,QWH-70478,George Bakari,2026-01-23,Andreah Smithh
BP-2026-0331,ADM-1057,Wesley Bakari,Grade 1 B,Term 1,2026,6500,M-PESA,QWH-86994,George Bakari,2026-01-22,Monica Wanjiru
BP-2026-0332,ADM-1057,Wesley Bakari,Grade 1 B,Term 1,2026,8400,Bank Transfer,RTN-14726,George Bakari,2026-02-26,Monica Wanjiru
BP-2026-0333,ADM-1057,Wesley Bakari,Grade 1 B,Term 2,2026,15000,M-PESA,QWH-87432,George Bakari,2026-05-12,Rebecca Wanjala
BP-2026-0334,ADM-1057,Wesley Bakari,Grade 1 B,Term 3,2026,3700,Bank Transfer,RTN-29865,George Bakari,2026-09-17,Rebecca Wanjala
